,text_id,level,text
0,1_10_1,Adv,"Agios Efstratios is so remote, so forgotten by the banks, the government and most of the modern world that the mobile phone network can't process data and there isn't a single ATM or credit-card credit-card machine on the island. Before Greece was plunged into financial chaos, residents of this tranquil outpost in the northern Aegean managed quite well. They did their banking at the post office and the few dozen rooms to rent were booked out every summer with people who had heard – by word of mouth – of its spectacular empty beaches, clear seas and fresh seafood."
1,1_10_1,Ele,"The Greek island of Agios Efstratios is very remote. It has been forgotten by the banks, the government and most of the modern world. It doesn't have a single ATM or credit-card machine. Before the economic crisis in Greece, the people of this peaceful island in the northern Aegean lived quite well. The few rooms to rent were fully booked every summer with people enjoying its empty beaches, clear seas and fresh seafood."
2,1_10_2,Adv,"But, because the island still runs on cash, the closure of banks nationwide has been devastating. Residents have been forced to make nine-hour round trips to the nearest big island to get cash and Greek visitors say they can't get together enough cash to come. “Tourist numbers are down 80% this year,” said Mayor Maria Kakali, in an office in the village where she grew up, home to around 200 people. “Even people born here and living in Athens, who have their own places on the island, aren't coming.”"
3,1_10_2,Ele,"But the island still uses only cash so the closure of the Greek banks has had a serious effect. Local people have to make nine-hour round trips to the nearest big island to get cash. Greek visitors say they don't have enough cash to come. “Tourist numbers have reduced by 80% this year,” said Mayor Maria Kakali, in an office in the village where she grew up. The village has about 200 people. “Even people born here and living in Athens, who have their own places on the island, aren't coming.”"
4,1_10_3,Adv,"Kakali has badgered the government and a major Greek bank into promising an ATM within weeks but she still feels it may come too late for this season on an island where tourism dwarfs the two other sources of income: fishing and agriculture: “We have almost no reservations in August, when usually we have people calling us up asking to find a room and we can't help them.” A hard winter ahead may be slightly improved by 50 workers billeted in the village to expand the harbor but there is an even bigger crisis looming because the government has said it will end a decades-old tax break for islands."
5,1_10_3,Ele,"Kakali has asked the government and a major Greek bank to install an ATM, and this should arrive soon. But tourism is the main business on the island, and she feels the ATM may come too late for this season. “We have almost no reservations in August, when usually we are full.” But there is an even bigger crisis ahead – the government has said it will end a tax break for islands."
6,1_10_4,Adv,"Created to help island communities survive when they were suffering mass emigration, a lower sales tax contained the costs of living in places where everything had to be imported and made tourism more affordable. Tourist favorites such as Mykonos fear that losing the tax breaks will make it hard for them to compete with Turkey but, for Agios Efstratios, it poses a far greater threat. “If we have to pay a tax of 23%, I'm sorry to say it but we will all die on the island,” says Kakali. Food and fuel are already more expensive than on mainland Greece, there are no economies of scale and little economic flexibility on an island which, even in summer, has only three shops, two restaurants and not a single official hotel. “This is an expensive island. Everything, even milk or bread, has changed hands three or four times before it gets to us and each middleman has to take a profit,” said Provatas Costas, a 58-year-old fisherman."
7,1_10_4,Ele,"The sales tax break was created to help people on islands survive when lots of people were emigrating. Islands that are popular with tourists, such as Mykonos, fear that losing the tax break will make things very hard for them. But, for Agios Efstratios, it is a much bigger problem. “If we have to pay a tax of 23%, we will all die on the island,” says Kakali. Food and fuel are already more expensive than on mainland Greece. Even in summer, the island has only three shops, two restaurants and not one official hotel. “This is an expensive island. Everything, even milk or bread, has been bought and sold three or four times by middlemen before it gets to us and so is very expensive,” said Provatas Costas, a 58-year-old fisherman."
8,1_10_5,Adv,"For Agios Efstratios and its closest large neighbor, Lemnos, the timing of the crisis is particularly cruel. They were condemned to relative obscurity for years in part because they are served by slow and unreliable ferries. In 2015, the government had finally given the contract to a new, efficient company, drawing floods of new visitors to explore the islands' largely overlooked charms, before the bank controls hit. “This season started out as the best season in 30 years and, in one week, became the worst,” said Atzamis Konstantinos, a travel agent in Lemnos who used to earn €15,000 a month as a captain of petroleum tankers and other large ships but came home because he missed it so much."
9,1_10_5,Ele,"Things are also difficult for the island of Lemnos, the closest large neighbor of Agios Efstratios. People saw the islands as remote for years partly because the only way to get there was by slow and unreliable ferries. In 2015, they finally had new, efficient ferries and this brought many new visitors to explore these islands. But, then, the bank controls began. “This season started as the best season in 30 years and, in one week, it became the worst,” said Atzamis Konstantinos, a travel agent in Lemnos."
10,1_10_6,Adv,"Lemnos has dozens of wild beaches, where even at the height of summer you can swim and sunbathe virtually alone, a small nightlife scene, and numerous cultural sites. Lemnos is the eighth largest island in Greece so it is in line for the first round of tax increases in autumn 2015 but far less wealthy than many smaller ones. It has just over 3,000 beds for visitors, compared with tens of thousands on an island such as Rhodes. Its councilors say that they will fight the tax rise, although none can say how. “We have been suffering economically in recent years and, now, we will suffer more,” said Lemnos Mayor, Dimitris Marinakis. “When there is not enough money, you reduce your consumption and therefore the whole economy declines.”"
11,1_10_6,Ele,"Lemnos has wild beaches, where you can swim and sunbathe almost alone, a small nightlife scene and many cultural sites. Lemnos is the eighth largest island in Greece so it will have to pay the first round of tax increases in autumn 2015. But Lemnos is far less wealthy than many smaller islands. It has just over 3,000 beds for visitors – Rhodes, for example, has tens of thousands of beds. “We have been suffering economically in recent years and now we will suffer more,” said Lemnos Mayor, Dimitris Marinakis."
13,1_10_7,Adv,"If taxes go up, even more young people will leave, warns Mayor Kakali, who has devoted her year in office to improving education on the island to help keep it an attractive place for families. Because it is one of the smallest islands, Agios Efstratios has until 2017 before the rise is due to come in, so Kakali hopes that the roller coaster of Greek politics means it yet may be spared. If not, though, she plans to travel to Athens to remind the distant government what the tax rise would cost. “The truth is the government doesn't pay much attention to the islands of the north Aegean,” she said, “so I would take all the kids from our school to the gates of parliament, to tell them: ‘There is still life in these islands'.”"
12,1_10_7,Ele,"If taxes go up, more young people will leave, warns Mayor Kakali. Because it is one of the smallest islands, Agios Efstratios will not have to pay the tax increase until 2017. And Kakali hopes the political situation in Greece will change before then. But, if not, she plans to travel to Athens to remind the distant government what the tax rise would cost. “The government doesn't pay much attention to the islands of the north Aegean,” she said, “so I would take all the kids from our school to the gates of parliament, to tell them: ‘There is still life in these islands'.”"
14,1_1_1,Adv,"Unveiling a car with a top speed of 25mph, two seats and no pedals or steering wheel might not make much of an impression at a motor show. But Google, in the US, sent a minor earthquake through the car and taxi industries as it unveiled the latest version of its driverless car. The electrically powered vehicle, which Google has begun testing around its headquarters in Mountain View, California, dispenses with all the normal controls, including foot pedals. Instead, it has a smartphone app that summons it and tells it the destination, and a single STOP button mounted between the two front-facing seats in case the occupants need to override the computer."
15,1_1_1,Ele,"A car with a maximum speed of 25 miles per hour, two seats and no pedals or steering wheel does not sound very interesting. But Google, in the US, shocked the car and taxi industries when it unveiled the latest version of its driverless car. Google has begun testing the electric car at its headquarters in Mountain View, California. The car does not have all the normal car controls, such as foot pedals. Instead, it has a smartphone app that calls it and tells it the destination, and a STOP button between the two seats in case the passengers need to override the computer."
