text_id,sentence_id,Text Ele Sentence,Text Adv Sentence
1_10_1,1,"The Greek island of Agios Efstratios is very remote. It has been forgotten by the banks, the government and most of the modern world. It doesn't have a single ATM or credit-card machine.","Agios Efstratios is so remote, so forgotten by the banks, the government and most of the modern world that the mobile phone network can't process data and there isn't a single ATM or credit-card credit-card machine on the island. "
1_10_1,2," Before the economic crisis in Greece, the people of this peaceful island in the northern Aegean lived quite well. ","Before Greece was plunged into financial chaos, residents of this tranquil outpost in the northern Aegean managed quite well. "
1_10_1,3,"The few rooms to rent were fully booked every summer with people enjoying its empty beaches, clear seas and fresh seafood.","They did their banking at the post office and the few dozen rooms to rent were booked out every summer with people who had heard – by word of mouth – of its spectacular empty beaches, clear seas and fresh seafood."
1_10_2,1,But the island still uses only cash so the closure of the Greek banks has had a serious effect. ,"But, because the island still runs on cash, the closure of banks nationwide has been devastating."
1_10_2,2,Local people have to make nine-hour round trips to the nearest big island to get cash. Greek visitors say they don't have enough cash to come.,Residents have been forced to make nine-hour round trips to the nearest big island to get cash and Greek visitors say they can't get together enough cash to come.
1_10_2,3,"“Tourist numbers have reduced by 80% this year,” said Mayor Maria Kakali, in an office in the village where she grew up. The village has about 200 people.","“Tourist numbers are down 80% this year,” said Mayor Maria Kakali, in an office in the village where she grew up, home to around 200 people. "
1_10_2,4," “Even people born here and living in Athens, who have their own places on the island, aren't coming.”","“Even people born here and living in Athens, who have their own places on the island, aren't coming.”"
1_10_3,1,"Kakali has asked the government and a major Greek bank to install an ATM, and this should arrive soon. But tourism is the main business on the island, and she feels the ATM may come too late for this season. “We have almost no reservations in August, when usually we are full.”","Kakali has badgered the government and a major Greek bank into promising an ATM within weeks but she still feels it may come too late for this season on an island where tourism dwarfs the two other sources of income: fishing and agriculture: “We have almost no reservations in August, when usually we have people calling us up asking to find a room and we can't help them.” "
1_10_3,2,But there is an even bigger crisis ahead – the government has said it will end a tax break for islands.,A hard winter ahead may be slightly improved by 50 workers billeted in the village to expand the harbor but there is an even bigger crisis looming because the government has said it will end a decades-old tax break for islands.
1_10_4,1,The sales tax break was created to help people on islands survive when lots of people were emigrating. ,"Created to help island communities survive when they were suffering mass emigration, a lower sales tax contained the costs of living in places where everything had to be imported and made tourism more affordable. "
1_10_4,2,"Islands that are popular with tourists, such as Mykonos, fear that losing the tax break will make things very hard for them. But, for Agios Efstratios, it is a much bigger problem. ","Tourist favorites such as Mykonos fear that losing the tax breaks will make it hard for them to compete with Turkey but, for Agios Efstratios, it poses a far greater threat. "
1_10_4,3,"“If we have to pay a tax of 23%, we will all die on the island,” says Kakali. ","“If we have to pay a tax of 23%, I'm sorry to say it but we will all die on the island,” says Kakali. "
1_10_4,4,"Food and fuel are already more expensive than on mainland Greece. Even in summer, the island has only three shops, two restaurants and not one official hotel. ","Food and fuel are already more expensive than on mainland Greece, there are no economies of scale and little economic flexibility on an island which, even in summer, has only three shops, two restaurants and not a single official hotel. "
1_10_4,5,"“This is an expensive island. Everything, even milk or bread, has been bought and sold three or four times by middlemen before it gets to us and so is very expensive,” said Provatas Costas, a 58-year-old fisherman.","“This is an expensive island. Everything, even milk or bread, has changed hands three or four times before it gets to us and each middleman has to take a profit,” said Provatas Costas, a 58-year-old fisherman."
1_10_5,1,"Things are also difficult for the island of Lemnos, the closest large neighbor of Agios Efstratios. ","For Agios Efstratios and its closest large neighbor, Lemnos, the timing of the crisis is particularly cruel. "
1_10_5,2,People saw the islands as remote for years partly because the only way to get there was by slow and unreliable ferries. ,They were condemned to relative obscurity for years in part because they are served by slow and unreliable ferries. 
1_10_5,3,"In 2015, they finally had new, efficient ferries and this brought many new visitors to explore these islands. But, then, the bank controls began. ","In 2015, the government had finally given the contract to a new, efficient company, drawing floods of new visitors to explore the islands' largely overlooked charms, before the bank controls hit. "
